,MsSubClass,Zone,Neighborhood,Area,Room,YearBuilt,Sale-Rent,Document,Floor,AllFloors,Elevator,Warehouse,Parking,Reconstruction,Balconcy,PricePerMeter,TotalPrice
82,0,1,15,130,2,21,0,0,0,3,1,1,1,1,1,92307000.0,12000000000.0
83,0,1,2,130,2,3,0,0,3,3,1,1,1,0,1,175384000.0,22800000000.0
84,0,1,2,135,3,31,0,0,1,3,0,1,1,0,0,120000000.0,16200000000.0
85,0,1,11,135,3,21,0,0,2,3,1,1,1,0,1,166666000.0,22500000000.0
86,0,1,2,138,3,18,0,0,1,3,0,1,1,1,0,111594000.0,15400000000.0
87,0,1,2,140,3,31,0,0,3,3,0,1,1,1,1,110714000.0,15500000000.0
88,0,1,11,140,3,28,0,2,1,3,0,1,1,0,1,182142000.0,25500000000.0
89,0,1,6,140,3,23,0,0,1,3,0,1,1,0,1,117857000.0,16500000000.0
90,0,1,6,140,3,18,0,1,1,3,0,1,1,1,0,114285000.0,16000000000.0
91,0,1,4,140,3,15,0,0,1,3,0,1,0,1,1,89285000.0,12500000000.0
92,0,1,22,142,3,23,0,0,3,3,0,1,0,1,1,200704000.0,28500000000.0
93,0,1,22,142,3,21,0,0,3,3,0,1,1,0,1,183098000.0,26000000000.0
94,0,1,5,145,3,28,0,0,2,3,0,1,1,1,1,196551000.0,28500000000.0
95,0,1,2,145,3,28,0,0,3,3,1,1,1,1,1,110344000.0,16000000000.0
96,0,1,2,145,3,23,0,0,3,3,1,1,1,1,1,110344000.0,16000000000.0
97,0,1,15,150,3,20,0,0,1,3,0,1,1,1,1,140000000.0,21000000000.0
98,0,1,2,150,3,19,0,0,3,3,1,1,1,0,1,120000000.0,18000000000.0
99,0,1,16,152,3,33,0,0,0,3,0,0,0,1,1,115131000.0,17500000000.0
100,0,1,10,155,3,13,0,0,2,3,1,1,1,1,1,248387000.0,38500000000.0
101,0,1,2,156,3,31,0,0,2,3,0,1,1,1,1,147435000.0,23000000000.0
102,0,1,16,160,3,23,0,1,2,3,0,1,1,0,0,175000000.0,28000000000.0
103,0,1,6,160,3,16,0,0,1,3,0,1,1,0,1,146875000.0,23500000000.0
104,0,1,17,165,3,32,0,0,1,3,0,1,1,1,1,145454000.0,24000000000.0
105,0,1,15,165,3,26,0,0,2,3,0,1,1,1,1,154303000.0,25460000000.0
106,0,1,6,165,3,23,0,0,1,3,1,1,1,1,1,242424000.0,40000000000.0
107,0,1,5,170,3,19,0,0,0,3,1,1,1,1,1,205882000.0,35000000000.0
